,item_title,category
57,"['crystal', 'clear', 'table', 'top', 'epoxy', 'resin', 'coating', 'casting', 'ounces']",Adhesives Sealants and Tapes
58,"['copper', 'foil', 'tape', 'in', 'yds', 'emi', 'conductive', 'adhesive']",Adhesives Sealants and Tapes
59,"['gal', 'bucket', 'covers', 'wet', 'looking', 'glossy', 'solvent', 'based', 'acrylic', 'durable', 'concrete']",Adhesives Sealants and Tapes
60,"['flex', 'shot', 'clear', 'oz', 'thick', 'rubber', 'adhesive', 'sealant', 'caulk', 'bond', 'seal', 'buy', 'direct']",Adhesives Sealants and Tapes
61,"['dual', 'lock', 'sj', 'type', 'vhb', 'black', 'reclosable', 'fastener', 'inoutdoor']",Adhesives Sealants and Tapes
62,"['gal', 'crystal', 'clear', 'table', 'top', 'epoxy', 'high', 'gloss']",Adhesives Sealants and Tapes
63,"['hot', 'melt', 'glue', 'gun', 'adtech', 'pro', 'glue', 'gun', 'pro', 'high', 'temp', 'high', 'output']",Adhesives Sealants and Tapes
64,"['cc', 'syringe', 'smt', 'smd', 'pcb', 'solder', 'paste', 'adhesive', 'glue', 'liquid', 'dispenser', 'efd', 'loctite']",Adhesives Sealants and Tapes
65,"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'jumbo', 'oz', 'white']",Adhesives Sealants and Tapes
66,"['mm', 'ft', 'bga', 'high', 'temperature', 'heat', 'resistant', 'polyimide', 'gold', 'kapton', 'tape']",Adhesives Sealants and Tapes
67,"['spray', 'adhesivefoam', 'and', 'fabric', 'oz']",Adhesives Sealants and Tapes
68,"['tear', 'mender', 'tgh', 'fabric', 'and', 'leather', 'adhesive', 'mender', 'oz', 'dries', 'waterproof']",Adhesives Sealants and Tapes
69,"['tear', 'mender', 'tm', 'fabric', 'and', 'leather', 'adhesive', 'mender', 'oz', 'dries', 'waterproof']",Adhesives Sealants and Tapes
70,"['ips', 'weldonon', 'solvent', 'acrylic', 'plexiglass', 'glue', 'oz', 'applicator', 'needles']",Adhesives Sealants and Tapes
71,"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'large', 'oz', 'white']",Adhesives Sealants and Tapes
72,"['epoxy', 'resin', 'crystal', 'clear', 'gloss', 'coating', 'wood', 'bar', 'table', 'tops', 'gallon', 'master', 'kit']",Adhesives Sealants and Tapes
73,"['silver', 'duct', 'tape', 'xm', 'case', 'rolls', 'roll', 'free', 'shipping']",Adhesives Sealants and Tapes
74,"['gaffer', 'power', 'black', 'gaff', 'tape', 'inch', 'yards', 'no', 'residue', 'strong', 'made', 'in', 'usa']",Adhesives Sealants and Tapes
75,"['xdual', 'lock', 'sj', 'type', 'vhb', 'black', 'reclosable', 'fastener', 'inoutdoor']",Adhesives Sealants and Tapes
76,"['fastcap', 'gbglubot', 'oz', 'glubot', 'glue', 'bottle']",Adhesives Sealants and Tapes
77,"['urethane', 'casting', 'resin', 'ultra', 'low', 'viscosity', 'ounces']",Adhesives Sealants and Tapes
78,"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'wood', 'ounce']",Adhesives Sealants and Tapes
79,"['devcon', 'ton', 'clear', 'welder', 'epoxy', 'glue', 'waterproof', 'adhesive']",Adhesives Sealants and Tapes
80,"['epoxy', 'resin', 'oz', 'kit', 'crystal', 'clear', 'for', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
81,"['ml', 'epoxy', 'resin', 'dispenser', 'static', 'mixer', 'mixing', 'nozzle', 'gun', 'applicator']",Adhesives Sealants and Tapes
82,"['fabricast', 'ultralow', 'viscosity', 'urethane', 'casting', 'resin', 'gallons']",Adhesives Sealants and Tapes
83,"['liquid', 'roof', 'epdm', 'rv', 'roof', 'coating', 'gallon', 'for', 'roof', 'leaks', 'repair', 'sealing']",Adhesives Sealants and Tapes
84,"['plastic', 'solvent', 'glue', 'cement', 'for', 'acrylic', 'plexiglass', 'weldon', 'no', 'applicator']",Adhesives Sealants and Tapes
85,"['fiberfix', 'wrap', 'rolls', 'fiber', 'fix', 'repair', 'wrap', 'super', 'adhesive', 'tape']",Adhesives Sealants and Tapes
86,"['rolls', 'ft', 'purpose', 'inch', 'vinyl', 'pvc', 'black', 'insulated', 'electrical', 'tape', 'lot']",Adhesives Sealants and Tapes
87,"['mmxm', 'emi', 'copper', 'foil', 'shielding', 'tape', 'conductive', 'self', 'adhesive', 'heat', 'insulation']",Adhesives Sealants and Tapes
88,"['crystal', 'clear', 'bar', 'table', 'top', 'epoxy', 'resin', 'coating', 'wood', 'art', 'work', 'kit', 'gloss', 'gallon']",Adhesives Sealants and Tapes
89,"['ips', 'weldon', 'plastic', 'solvent', 'plexiglass', 'acrylic', 'glue', 'oz']",Adhesives Sealants and Tapes
90,"['new', 'homax', 'welder', 'pk', 'all', 'purpose', 'contact', 'glue', 'adhesive', 'sale']",Adhesives Sealants and Tapes
91,"['junipel', 'loom', 'pet', 'fleece', 'noise', 'damping', 'wire', 'harness', 'cloth', 'electrical', 'tape']",Adhesives Sealants and Tapes
92,"['milliput', 'standard', 'epoxy', 'putty', 'part', 'self', 'hardening', 'grey', 'yellow', 'oz']",Adhesives Sealants and Tapes
93,"['epoxy', 'resin', 'crystal', 'clear', 'casting', 'system', 'coating', 'wood', 'table', 'top', 'part', 'gal', 'kit']",Adhesives Sealants and Tapes
94,"['high', 'temp', 'silco', 'oz', 'food', 'safe', 'rtv', 'silicone', 'sealant', 'adhesive', 'red', 'nsf', 'fda', 'grade']",Adhesives Sealants and Tapes
95,"['silco', 'rtv', 'clear', 'silicone', 'sealant', 'adhesive', 'high', 'temp', 'food', 'grade', 'glue', 'oz']",Adhesives Sealants and Tapes
96,"['butyl', 'rubber', 'glue', 'headlight', 'sealant', 'retrofit', 'reseal', 'headlamps', 'or', 'windshield']",Adhesives Sealants and Tapes
97,"['roll', 'teflon', 'plumbing', 'fitting', 'thread', 'seal', 'tape', 'ptfe', 'for', 'water', 'pipe']",Adhesives Sealants and Tapes
98,"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'giant', 'oz', 'gray']",Adhesives Sealants and Tapes
99,"['mmx', 'adhesive', 'cloth', 'fabric', 'tape', 'cable', 'looms', 'wiring', 'harness', 'for', 'car', 'auto']",Adhesives Sealants and Tapes
100,"['loctite', 'red', 'ml', 'high', 'strength', 'thread', 'locker', 'free', 'shipping']",Adhesives Sealants and Tapes
101,"['rtv', 'red', 'silicon', 'adhesive', 'fda', 'food', 'grade', 'safe', 'high', 'temp', 'gasket', 'smoker', 'sealer']",Adhesives Sealants and Tapes
102,"['jb', 'weld', 'industrial', 'cold', 'weld', 'compound', 'large', 'oz', 'tubes']",Adhesives Sealants and Tapes
103,"['food', 'grade', 'rtv', 'silicone', 'sealant', 'adhesive', 'red', 'high', 'temp', 'ounce']",Adhesives Sealants and Tapes
104,"['epoxy', 'resin', 'gal', 'kit', 'crystal', 'clear', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
105,"['mmx', 'roll', 'emi', 'copper', 'foil', 'shielding', 'tape', 'conductive', 'self', 'adhesive', 'barrier']",Adhesives Sealants and Tapes
106,"['hightemperature', 'rocksett', 'adhesive', 'ceramic', 'cement', 'oz']",Adhesives Sealants and Tapes
107,"['mm', 'ft', 'bga', 'high', 'temperature', 'heat', 'resistant', 'polyimide', 'gold', 'kapton', 'tape']",Adhesives Sealants and Tapes
108,"['radonseal', 'plus', 'penetrating', 'concrete', 'sealer', 'gal', 'basement', 'concrete', 'sealer']",Adhesives Sealants and Tapes
109,"['rolls', 'mm', 'adhesive', 'cloth', 'fabric', 'tape', 'for', 'cable', 'looms', 'wiring', 'harness']",Adhesives Sealants and Tapes
110,"['quarts', 'table', 'top', 'epoxy', 'resin', 'coating', 'crystal', 'clear', 'high', 'gloss']",Adhesives Sealants and Tapes
111,"['copper', 'foil', 'tape', 'ft', 'emi', 'conductive', 'adhesive', 'ship', 'from', 'usa']",Adhesives Sealants and Tapes
112,"['galstable', 'top', 'epoxy', 'resin', 'crystal', 'clear', 'high', 'gloss']",Adhesives Sealants and Tapes
113,"['dap', 'weldwood', 'contact', 'cement', 'top', 'trim', 'hhr', 'solvent', 'type', 'spray', 'grade', 'gallon']",Adhesives Sealants and Tapes
114,"['convenient', 'fiberfix', 'ridiculously', 'repair', 'wrap', 'fiber', 'fix', 'free', 'shipping', 'rt']",Adhesives Sealants and Tapes
115,"['flex', 'shot', 'black', 'oz', 'thick', 'rubber', 'adhesive', 'sealant', 'caulk', 'bond', 'seal', 'buy', 'direct']",Adhesives Sealants and Tapes
116,"['devcon', 'clear', 'ton', 'high', 'strength', 'epoxy', 'glue', 'waterproof', 'adhesive']",Adhesives Sealants and Tapes
117,"['silver', 'conductive', 'ml', 'glue', 'wire', 'electrically', 'paste', 'adhesive', 'paint', 'pcb', 'repair']",Adhesives Sealants and Tapes
118,"['ips', 'weldon', 'plastic', 'glue', 'cement', 'for', 'acrylic', 'plexiglass', 'oz', 'tube']",Adhesives Sealants and Tapes
119,"['new', 'flex', 'seal', 'fscl', 'clear', 'large', 'oz', 'jumbo', 'can', 'liquid', 'rubber', 'sealant']",Adhesives Sealants and Tapes
120,"['weldwood', 'high', 'temp', 'spray', 'adhesive', 'headliner', 'carpet', 'door', 'panels', 'fabric', 'foam']",Adhesives Sealants and Tapes
121,"['ips', 'weldon', 'sc', 'plastic', 'solvent', 'glue', 'cement', 'for', 'acrylic', 'plexiglass', 'oz']",Adhesives Sealants and Tapes
122,"['plastic', 'acrylic', 'plexiglass', 'glue', 'adhesive', 'weldon', 'oz']",Adhesives Sealants and Tapes
123,"['rolls', 'ft', 'aluminum', 'foil', 'heat', 'shield', 'tape', 'hvac', 'heating', 'ac', 'sealing', 'ad']",Adhesives Sealants and Tapes
124,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
125,"['new', 'oz', 'tg', 'tear', 'mender', 'instant', 'fabric', 'leather', 'adhesive', 'nontoxic', 'glue']",Adhesives Sealants and Tapes
126,"['jb', 'weld', 'industro', 'cold', 'weld', 'oz', 'tubes']",Adhesives Sealants and Tapes
127,"['durable', 'convenient', 'fiberfix', 'ridiculously', 'strong', 'repair', 'wrap', 'fiber', 'fix', 'yu']",Adhesives Sealants and Tapes
128,"['ta', 'hand', 'masker', 'tape', 'applicator']",Adhesives Sealants and Tapes
129,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
130,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
131,"['eclectic', 'products', 'amazing', 'automotive', 'goop', 'glue', 'adhesive', 'sealant', 'oz']",Adhesives Sealants and Tapes
132,"['copper', 'foil', 'tape', 'ft', 'emi', 'conductive', 'adhesive', 'ship', 'from', 'usa']",Adhesives Sealants and Tapes
133,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
134,"['concrete', 'crack', 'kit', 'epoxy', 'injection', 'fix', 'pools', 'foundation', 'repair', 'walls', 'floor', 'atc']",Adhesives Sealants and Tapes
135,"['tube', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
136,"['cordless', 'caulk', 'gun', 'oz', 'milwaukee']",Adhesives Sealants and Tapes
137,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
138,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
139,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
140,"['new', 'power', 'poxy', 'part', 'weld', 'epoxy', 'metal', 'aluminum', 'brass', 'steel', 'concrete', 'jb', 'glue']",Adhesives Sealants and Tapes
141,"['roll', 'of', 'aluminum', 'foil', 'tape', 'with', 'butyl', 'rubber', 'backing', 'mil', 'thick']",Adhesives Sealants and Tapes
142,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
143,"['mm', 'ft', 'gold', 'high', 'temperature', 'heat', 'resistant', 'kapton', 'tape', 'polyimide', 'bga']",Adhesives Sealants and Tapes
144,"['new', 'devcon', 'ton', 'clear', 'plastic', 'welder', 'epoxy', 'glue', 'waterproof', 'adhesive']",Adhesives Sealants and Tapes
145,"['gorilla', 'clear', 'repair', 'tape', 'vinyl', 'patch', 'inflatable', 'underwater', 'wet', 'dry']",Adhesives Sealants and Tapes
146,"['liquid', 'roof', 'epdm', 'rv', 'coating', 'gal', 'for', 'roof', 'leaks', 'repair', 'sealing']",Adhesives Sealants and Tapes
147,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
148,"['tubes', 'chemlink', 'black', 'structural', 'sealant', 'oz', 'cartridge', 'chemlink']",Adhesives Sealants and Tapes
149,"['protapes', 'pro', 'gaff', 'black', 'gaffers', 'tape', 'yd', 'roll']",Adhesives Sealants and Tapes
150,"['foot', 'long', 'self', 'fusing', 'silicone', 'rubber', 'waterproof', 'bonding', 'tape']",Adhesives Sealants and Tapes
151,"['epoxy', 'resin', 'crystal', 'clear', 'oz', 'kit', 'for', 'super', 'gloss', 'coating', 'and', 'tabletops']",Adhesives Sealants and Tapes
152,"['rolls', 'of', 'temflex', 'black', 'electrical', 'tape', 'electric', 'tapes']",Adhesives Sealants and Tapes
153,"['vhb', 'double', 'sided', 'foam', 'adhesive', 'tape', 'automotive', 'mounting']",Adhesives Sealants and Tapes
154,"['lb', 'pound', 'mass', 'loaded', 'vinyl', 'rolls']",Adhesives Sealants and Tapes
155,"['new', 'loctite', 'nut', 'bolt', 'gel', 'threadlocker', 'blue']",Adhesives Sealants and Tapes
156,"['make', 'silicone', 'molds', 'and', 'urethane', 'resin', 'parts', 'in', 'minutes']",Adhesives Sealants and Tapes
157,"['pliteq', 'genieclips', 'resilient', 'sound', 'clip', 'for', 'decoupling']",Adhesives Sealants and Tapes
158,"['norland', 'optical', 'adhesive', 'uv', 'cure', 'noaml', 'with', 'fine', 'tip', 'applicators']",Adhesives Sealants and Tapes
159,"['rolls', 'heat', 'resistant', 'tapes', 'sublimation', 'press', 'transfer', 'thermal', 'tape', 'mmm']",Adhesives Sealants and Tapes
160,"['crackweld¬æ', 'concrete', 'floor', 'repair', 'kit', 'pack', 'hairline', 'crack', 'repair', 'made', 'easy']",Adhesives Sealants and Tapes
161,"['inch', 'yds', 'high', 'temperature', 'polyester', 'green', 'masking', 'tape', 'for', 'powder', 'coat']",Adhesives Sealants and Tapes
162,"['liquid', 'roof', 'epdm', 'rv', 'roof', 'coating', 'gallon', 'for', 'roof', 'leaks', 'repair', 'sealing']",Adhesives Sealants and Tapes
163,"['super', 'glue', 'instant', 'adhesive', 'xg', 'quickstar', 'for', 'wood', 'stone', 'metal', 'ceramic']",Adhesives Sealants and Tapes
164,"['ml', 'silver', 'conductive', 'wire', 'glue', 'adhesive', 'paste', 'apply', 'to', 'pcb', 'electronics', 'repair']",Adhesives Sealants and Tapes
165,"['epoxy', 'resin', 'clear', 'wood', 'working', 'coating', 'commercial', 'bar', 'top', 'counter', 'top', 'gal']",Adhesives Sealants and Tapes
166,"['scotchmount', 'inch', 'ft', 'molding', 'attachment', 'tape']",Adhesives Sealants and Tapes
167,"['low', 'cost', 'rear', 'windshield', 'defroster', 'tab', 'grid', 'repair', 'kit', 'silver', 'epoxy', 'gm']",Adhesives Sealants and Tapes
168,"['roll', 'aluminum', 'foil', 'tape', 'yards', 'longm', 'widemm', 'emi', 'heat', 'shield']",Adhesives Sealants and Tapes
169,"['rolls', 'ft', 'general', 'purpose', 'masking', 'tape', 'inch', 'adhesive', 'ivory', 'white', 'lot']",Adhesives Sealants and Tapes
170,"['rubberseal', 'liquid', 'rubber', 'waterproofing', 'roll', 'on', 'white', 'gallon', 'new']",Adhesives Sealants and Tapes
171,"['milwaukee', 'volt', 'ounce', 'caulk', 'and', 'adhesive', 'gun', 'bare', 'tool']",Adhesives Sealants and Tapes
172,"['mm', 'cm', 'silicone', 'rubber', 'waterproof', 'adhesive', 'rescue', 'repair', 'cloth', 'tape', 'black']",Adhesives Sealants and Tapes
173,"['plaster', 'of', 'paris', 'lbwhitepail', 'dap']",Adhesives Sealants and Tapes
174,"['lavalock¬æ', 'high', 'temp', 'oz', 'food', 'grade', 'rtv', 'silicone', 'sealant', 'adhesive', 'red', 'oz', 'fda']",Adhesives Sealants and Tapes
175,"['heavy', 'duty', 'professional', 'caulk', 'gun', 'rotating', 'barrel', 'oz', 'tube']",Adhesives Sealants and Tapes
176,"['ceramic', 'tile', 'cutting', 'diamond', 'bit', 'fresadora', 'de', 'azulejos', 'cer°mica']",Automation Motors and Drives
177,"['stepper', 'motor', 'nema', 'ozin', 'cnc', 'mill', 'robot', 'reprap', 'makerbot', 'gt', 'mm', 'pv']",Automation Motors and Drives
178,"['stepper', 'motor', 'drive', 'controller', 'board', 'module', 'ln', 'dual', 'bridge', 'dc', 'for', 'arduino']",Automation Motors and Drives
179,"['dcv', 'heavy', 'duty', 'linear', 'actuator', 'electric', 'motor', 'for', 'medical', 'lift', 'auto', 'car']",Automation Motors and Drives
180,"['digital', 'temperature', 'controller', 'temp', 'sensor', 'thermostat', 'control', 'relay', 'us']",Automation Motors and Drives
181,"['top', 'selling', 'axis', 'nema', 'stepper', 'motor', 'ozin', 'driver', 'board', 'tbcnc', 'kit']",Automation Motors and Drives
182,"['hp', 'single', 'phase', 'baldor', 'electric', 'compressor', 'motor', 'frame', 'lt', 'volt']",Automation Motors and Drives
183,"['wireless', 'dc', 'positive', 'inversion', 'remote', 'control', 'for', 'dc', 'motor', 'linear', 'actuator']",Automation Motors and Drives
184,"['dc', 'brush', 'motor', 'speed', 'control', 'pwm', 'hho', 'rc', 'controller']",Automation Motors and Drives
185,"['¬c', 'digital', 'thermostat', 'temperature', 'control', 'switch', 'sensor']",Automation Motors and Drives
186,"['ac', 'digital', 'temperature', 'controller', 'thermostat', 'diy', 'aquarium', 'sous', 'vide']",Automation Motors and Drives
187,"['new', 'mabuchi', 'rs', 'ph', 'high', 'torque', 'motor', 'generator']",Automation Motors and Drives
188,"['century', 'day', 'programmable', 'inwall', 'timer', 'switch', 'digital', 'for', 'fans', 'lights', 'motors']",Automation Motors and Drives
189,"['prewired', 'digital', 'temperature', 'controller', 'thermostat', 'relays', 'outlet', 'switch']",Automation Motors and Drives
190,"['hp', 'volt', 'ac', 'rpm', 'marathon', 'air', 'compressor', 'motor']",Automation Motors and Drives
191,"['easydriver', 'shield', 'stepper', 'motor', 'driver', 'module', 'for', 'arduino', 'printer']",Automation Motors and Drives
192,"['fully', 'licensed', 'mach', 'cnc', 'software', 'by', 'artsoft', 'control', 'cnc', 'machines', 'steppers']",Automation Motors and Drives
193,"['wireless', 'mach', 'mpg', 'pendant', 'handwheel', 'for', 'cnc', 'mac', 'mach', 'axis', 'wholesale']",Automation Motors and Drives
194,"['digital', 'temperature', 'control', 'controller', 'thermostat', 'wsensor']",Automation Motors and Drives
